timestamp, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2020/01/23 17:02:47.461, 34, 60 %, 4 %, 11441 MiB, 11441 MiB, 0 MiB
2020/01/23 17:02:52.463, 34, 0 %, 0 %, 11441 MiB, 11441 MiB, 0 MiB
2020/01/23 17:02:57.464, 33, 0 %, 0 %, 11441 MiB, 11441 MiB, 0 MiB
2020/01/23 17:03:02.465, 32, 0 %, 0 %, 11441 MiB, 11441 MiB, 0 MiB
2020/01/23 17:03:07.466, 31, 0 %, 0 %, 11441 MiB, 11441 MiB, 0 MiB
2020/01/23 17:03:12.467, 32, 12 %, 0 %, 11441 MiB, 11280 MiB, 161 MiB
2020/01/23 17:03:17.468, 33, 60 %, 11 %, 11441 MiB, 11070 MiB, 371 MiB
2020/01/23 17:03:22.470, 35, 59 %, 12 %, 11441 MiB, 11070 MiB, 371 MiB
2020/01/23 17:03:27.471, 36, 60 %, 11 %, 11441 MiB, 11070 MiB, 371 MiB
2020/01/23 17:03:32.472, 37, 59 %, 11 %, 11441 MiB, 11070 MiB, 371 MiB
2020/01/23 17:03:37.473, 38, 59 %, 12 %, 11441 MiB, 11070 MiB, 371 MiB
2020/01/23 17:03:42.475, 39, 59 %, 12 %, 11441 MiB, 11070 MiB, 371 MiB
2020/01/23 17:03:47.476, 41, 59 %, 12 %, 11441 MiB, 11070 MiB, 371 MiB
2020/01/23 17:03:52.477, 42, 59 %, 12 %, 11441 MiB, 11070 MiB, 371 MiB
2020/01/23 17:03:57.478, 43, 56 %, 9 %, 11441 MiB, 11070 MiB, 371 MiB
2020/01/23 17:04:02.479, 44, 59 %, 12 %, 11441 MiB, 11070 MiB, 371 MiB
2020/01/23 17:04:07.480, 45, 59 %, 12 %, 11441 MiB, 11070 MiB, 371 MiB
2020/01/23 17:04:12.481, 46, 59 %, 12 %, 11441 MiB, 11070 MiB, 371 MiB
2020/01/23 17:04:17.483, 47, 59 %, 12 %, 11441 MiB, 11070 MiB, 371 MiB
2020/01/23 17:04:22.484, 49, 59 %, 12 %, 11441 MiB, 11070 MiB, 371 MiB
2020/01/23 17:04:27.485, 50, 59 %, 12 %, 11441 MiB, 11070 MiB, 371 MiB
2020/01/23 17:04:32.486, 51, 59 %, 12 %, 11441 MiB, 11070 MiB, 371 MiB
2020/01/23 17:04:37.487, 52, 59 %, 12 %, 11441 MiB, 11070 MiB, 371 MiB
2020/01/23 17:04:42.488, 53, 58 %, 12 %, 11441 MiB, 11070 MiB, 371 MiB
2020/01/23 17:04:47.490, 54, 59 %, 12 %, 11441 MiB, 11070 MiB, 371 MiB
2020/01/23 17:04:52.491, 55, 56 %, 9 %, 11441 MiB, 11070 MiB, 371 MiB
2020/01/23 17:04:57.492, 55, 0 %, 0 %, 11441 MiB, 11441 MiB, 0 MiB
2020/01/23 17:05:02.494, 54, 0 %, 0 %, 11441 MiB, 11441 MiB, 0 MiB
