timestamp, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2020/01/23 17:54:59.650, 37, 84 %, 5 %, 11441 MiB, 11441 MiB, 0 MiB
2020/01/23 17:55:04.651, 38, 0 %, 0 %, 11441 MiB, 11441 MiB, 0 MiB
2020/01/23 17:55:09.652, 38, 0 %, 0 %, 11441 MiB, 11441 MiB, 0 MiB
2020/01/23 17:55:14.654, 39, 59 %, 15 %, 11441 MiB, 481 MiB, 10960 MiB
2020/01/23 17:55:19.655, 40, 59 %, 15 %, 11441 MiB, 481 MiB, 10960 MiB
2020/01/23 17:55:24.656, 40, 59 %, 15 %, 11441 MiB, 481 MiB, 10960 MiB
2020/01/23 17:55:29.657, 40, 59 %, 16 %, 11441 MiB, 481 MiB, 10960 MiB
2020/01/23 17:55:34.658, 41, 59 %, 16 %, 11441 MiB, 481 MiB, 10960 MiB
2020/01/23 17:55:39.659, 41, 59 %, 15 %, 11441 MiB, 481 MiB, 10960 MiB
2020/01/23 17:55:44.660, 42, 59 %, 15 %, 11441 MiB, 481 MiB, 10960 MiB
2020/01/23 17:55:49.661, 43, 59 %, 15 %, 11441 MiB, 481 MiB, 10960 MiB
2020/01/23 17:55:54.662, 43, 48 %, 7 %, 11441 MiB, 481 MiB, 10960 MiB
2020/01/23 17:55:59.663, 44, 59 %, 16 %, 11441 MiB, 481 MiB, 10960 MiB
2020/01/23 17:56:04.664, 45, 59 %, 15 %, 11441 MiB, 481 MiB, 10960 MiB
2020/01/23 17:56:09.666, 46, 60 %, 15 %, 11441 MiB, 481 MiB, 10960 MiB
2020/01/23 17:56:14.667, 47, 59 %, 16 %, 11441 MiB, 481 MiB, 10960 MiB
2020/01/23 17:56:19.668, 47, 59 %, 15 %, 11441 MiB, 481 MiB, 10960 MiB
2020/01/23 17:56:24.669, 48, 59 %, 15 %, 11441 MiB, 481 MiB, 10960 MiB
2020/01/23 17:56:29.670, 48, 59 %, 15 %, 11441 MiB, 481 MiB, 10960 MiB
2020/01/23 17:56:34.671, 48, 59 %, 15 %, 11441 MiB, 481 MiB, 10960 MiB
2020/01/23 17:56:39.672, 48, 58 %, 14 %, 11441 MiB, 481 MiB, 10960 MiB
2020/01/23 17:56:44.674, 48, 59 %, 15 %, 11441 MiB, 481 MiB, 10960 MiB
2020/01/23 17:56:49.675, 48, 59 %, 16 %, 11441 MiB, 481 MiB, 10960 MiB
2020/01/23 17:56:54.676, 47, 59 %, 15 %, 11441 MiB, 481 MiB, 10960 MiB
2020/01/23 17:56:59.677, 48, 59 %, 15 %, 11441 MiB, 481 MiB, 10960 MiB
2020/01/23 17:57:04.678, 48, 59 %, 16 %, 11441 MiB, 481 MiB, 10960 MiB
2020/01/23 17:57:09.679, 48, 60 %, 16 %, 11441 MiB, 481 MiB, 10960 MiB
2020/01/23 17:57:14.680, 49, 59 %, 15 %, 11441 MiB, 481 MiB, 10960 MiB
2020/01/23 17:57:19.681, 49, 59 %, 15 %, 11441 MiB, 481 MiB, 10960 MiB
2020/01/23 17:57:24.682, 50, 55 %, 12 %, 11441 MiB, 481 MiB, 10960 MiB
2020/01/23 17:57:29.683, 51, 60 %, 15 %, 11441 MiB, 481 MiB, 10960 MiB
2020/01/23 17:57:34.684, 52, 59 %, 15 %, 11441 MiB, 481 MiB, 10960 MiB
2020/01/23 17:57:39.685, 53, 59 %, 15 %, 11441 MiB, 481 MiB, 10960 MiB
2020/01/23 17:57:44.686, 54, 59 %, 15 %, 11441 MiB, 481 MiB, 10960 MiB
2020/01/23 17:57:49.688, 55, 60 %, 16 %, 11441 MiB, 481 MiB, 10960 MiB
2020/01/23 17:57:54.689, 55, 59 %, 15 %, 11441 MiB, 481 MiB, 10960 MiB
2020/01/23 17:57:59.690, 55, 0 %, 0 %, 11441 MiB, 11441 MiB, 0 MiB
