2020/01/24 08:31:07.282, 45, 96 %, 6 %, 11441 MiB, 11441 MiB, 0 MiB
2020/01/24 08:31:12.284, 45, 13 %, 0 %, 11441 MiB, 11327 MiB, 114 MiB
2020/01/24 08:31:17.285, 45, 18 %, 3 %, 11441 MiB, 11125 MiB, 316 MiB
2020/01/24 08:31:22.285, 46, 12 %, 2 %, 11441 MiB, 11125 MiB, 316 MiB
2020/01/24 08:31:27.286, 47, 19 %, 4 %, 11441 MiB, 11125 MiB, 316 MiB
2020/01/24 08:31:32.288, 47, 18 %, 3 %, 11441 MiB, 11125 MiB, 316 MiB
2020/01/24 08:31:37.288, 47, 6 %, 0 %, 11441 MiB, 11125 MiB, 316 MiB
2020/01/24 08:31:42.289, 48, 16 %, 3 %, 11441 MiB, 11125 MiB, 316 MiB
2020/01/24 08:31:47.290, 48, 19 %, 4 %, 11441 MiB, 11125 MiB, 316 MiB
2020/01/24 08:31:52.292, 48, 20 %, 4 %, 11441 MiB, 11125 MiB, 316 MiB
2020/01/24 08:31:57.293, 49, 16 %, 3 %, 11441 MiB, 11125 MiB, 316 MiB
2020/01/24 08:32:02.294, 49, 13 %, 2 %, 11441 MiB, 11125 MiB, 316 MiB
2020/01/24 08:32:07.295, 50, 18 %, 3 %, 11441 MiB, 11125 MiB, 316 MiB
2020/01/24 08:32:12.296, 50, 20 %, 4 %, 11441 MiB, 11125 MiB, 316 MiB
2020/01/24 08:32:17.297, 50, 4 %, 0 %, 11441 MiB, 11125 MiB, 316 MiB
2020/01/24 08:32:22.298, 50, 19 %, 4 %, 11441 MiB, 11125 MiB, 316 MiB
2020/01/24 08:32:27.299, 50, 18 %, 3 %, 11441 MiB, 11125 MiB, 316 MiB
2020/01/24 08:32:32.300, 51, 21 %, 4 %, 11441 MiB, 11125 MiB, 316 MiB
2020/01/24 08:32:37.301, 50, 0 %, 0 %, 11441 MiB, 11441 MiB, 0 MiB
